,,,Grade Range,,,Student's Race-Ethnicity,,,,,,,Students with Disabilities,ELL ,Meal Eligibility Status,,
,,,"Elementary Level 
(Grade K-3)",Middle Grades (Grades 4-8),"Secondary School
 (Grades 9-12)",American Indian or Alaska Native,Asian,Black or African American,"Hispanic
Latino of any race",Native Hawaiian or Other Pacific Islander,Two or More Races,White,,,Free Meals,Reduced Meals,Not Eligible
District Code,District Name,Total % of Students chronically absent in District,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic
1,Andover School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
2,Ansonia School District,11.2,9.7,9.8,15.3,*,*,13.5,14.1,*,*,9.0,16.1,*,15.4,*,5.8
3,Ashford School District,7.6,*,9.2, - , - ,*,*,*, - ,*,8.2,*,*,*,*,*
4,Avon School District,4.8,5.8,4.9,3.7,*,*,*,*,*,*,4.0,9.2,*,14.5,*,4.1
5,Barkhamsted School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
7,Berlin School District,4.8,*,2.9,9.2,*,*,*,12.4,*,*,3.8,13.7,*,18.4,*,3.0
8,Bethany School District,4.9,*,*, - ,*,*,*,*, - ,*,*,*, - ,*,*,*
9,Bethel School District,7.2,2.9,8.4,9.9, - ,*,*,8.0,*,*,7.2,16.2,*,14.9,*,5.8
11,Bloomfield School District,7.6,6.9,4.6,11.1,*,*,6.3,16.1,*,*,*,12.3,*,10.6,*,6.0
12,Bolton School District,5.3,*,*,*, - ,*,*,*, - ,*,3.3,*,*,24.0,*,*
13,Bozrah School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
14,Branford School District,8.8,5.0,6.7,14.4,*,*,*,10.0, - ,*,9.1,13.8,*,13.6,*,7.9
15,Bridgeport School District,21.3,18.8,16.8,32.5,*,10.7,19.8,23.9,*,24.5,18.0,30.0,21.4,21.3, - , - 
17,Bristol School District,11.6,9.7,9.6,15.7,*,*,13.4,21.2,*,14.2,8.4,20.5,24.0,21.9,7.0,5.1
18,Brookfield School District,4.1,2.9,4.0,5.1,*,*,*,*,*,*,4.1,6.8,*,*,*,3.7
19,Brooklyn School District,4.1,*,*, - ,*,*,*,*,*,*,3.5,*,*,10.7,*,*
21,Canaan School District,*,*,*, - , - , - , - ,*,*,*,*,*,*,*, - ,*
22,Canterbury School District,*,*,*, - ,*, - ,*,*, - ,*,*,*, - ,*,*,*
23,Canton School District,9.0,11.8,9.9,5.1,*,*,*,*, - ,*,8.2,19.9,*,22.7,*,7.8
24,Chaplin School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
25,Cheshire School District,5.0,2.1,3.5,8.7,*,*,*,*, - ,*,5.1,12.4,*,17.9,*,4.2
26,Chester School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
27,Clinton School District,6.8,3.8,5.5,11.8,*,*,*,*,*,*,6.8,12.2,*,16.5,*,4.8
28,Colchester School District,5.2,3.7,4.7,6.5,*,*,*,*,*,*,4.9,10.4,*,11.7,*,3.9
29,Colebrook School District,*,*,*, - , - , - , - ,*, - ,*,*,*, - ,*,*,*
30,Columbia School District,*,*,*, - , - ,*,*,*, - ,*,*,*, - ,*,*,*
31,Cornwall School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*, - ,*
32,Coventry School District,5.2,*,4.9,7.3,*,*,*,*, - ,*,5.2,12.6,*,10.9,*,3.9
33,Cromwell School District,5.2,*,3.6,11.1,*,*,*,*,*,*,4.6,*,*,13.1,*,3.6
34,Danbury School District,6.0,5.9,6.4,5.6,*,4.0,7.2,6.2,*,10.2,5.7,14.0,6.3,9.1,3.8,3.9
35,Darien School District,3.5,1.7,4.4,4.5,*,*,*,*, - ,*,3.5,4.3,*,*,*,3.5
36,Deep River School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
37,Derby School District,16.2,12.6,14.7,23.1, - ,*,15.9,19.2,*,*,14.8,24.3,*,21.5,*,11.0
39,Eastford School District,*,*,*, - ,*,*,*,*, - ,*,*,*, - ,*, - ,*
40,East Granby School District,5.2,*,*,*,*,*,*,*, - ,*,4.2,*,*,*, - ,5.0
41,East Haddam School District,6.2,*,4.3,10.6, - ,*,*,*, - ,*,6.4,*, - ,*,*,5.6
42,East Hampton School District,6.9,6.4,6.8,7.8, - ,*,*,*,*,*,6.8,16.8,*,21.1,*,5.3
43,East Hartford School District,13.0,15.5,12.6,10.8,*,5.8,10.5,16.4,*,*,11.7,25.2,16.4,16.6,7.3,7.3
44,East Haven School District,12.2,9.2,5.7,23.4,*,*,*,10.1,*,*,12.9,20.5,*,14.9,11.7,10.2
45,East Lyme School District,5.2,4.2,6.3,4.7,*,*,*,*,*,*,5.2,10.8,*,10.4,*,4.2
46,Easton School District,2.3,*,*, - ,*,*,*,*,*,*,*,*,*,*,*,2.3
47,East Windsor School District,10.7,12.7,9.7,10.0,*,*,15.8,16.1, - ,*,8.6,17.3,*,18.0,*,6.1
48,Ellington School District,3.8,3.2,3.9,4.0,*,*,*,*, - ,*,3.3,11.7,*,13.3,*,2.8
49,Enfield School District,11.9,9.6,13.3,12.4,*,*,14.0,14.9,*,12.1,11.3,21.0,*,20.5,11.3,8.2
50,Essex School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
51,Fairfield School District,3.6,2.8,4.2,3.5,*,*,*,5.3,*,*,3.4,7.0,*,10.0,*,3.0
52,Farmington School District,6.3,4.7,4.4,9.9,*,3.7,11.1,11.6,*,*,6.1,13.5,*,15.7,*,5.3
53,Franklin School District,*,*,*, - ,*,*, - ,*,*,*,*,*, - ,*,*,*
54,Glastonbury School District,2.8,2.2,1.7,4.6,*,*,*,5.9,*,*,2.4,8.6,*,8.4,*,2.3
56,Granby School District,4.9,4.1,4.1,6.1,*,*,*,*, - ,*,3.8,11.9,*,16.3,*,3.8
57,Greenwich School District,4.7,4.6,4.9,4.5,*,3.4,*,7.3,*,*,4.1,8.6,6.1,11.3,6.5,3.8
58,Griswold School District,10.4,8.1,8.0,15.4,*,*,*,*,*,*,10.1,23.6,*,21.1,*,5.5
59,Groton School District,11.7,9.7,7.1,21.1,*,8.2,12.0,17.2,*,10.9,9.7,19.4,*,18.5,8.9,7.7
60,Guilford School District,5.8,4.1,5.5,7.8,*,*,*,*,*,*,5.8,12.5,*,14.8,*,5.0
62,Hamden School District,14.3,8.8,12.6,21.6,*,9.7,18.0,17.5,*,10.6,11.7,21.0,13.1,23.0,17.8,9.3
63,Hampton School District,*,*,*, - , - ,*, - ,*, - ,*,*,*, - ,*,*,*
64,Hartford School District,25.7,22.1,19.9,38.0,*,10.6,22.4,32.1,*,22.4,11.9,37.8,34.0,28.8,9.2,7.6
65,Hartland School District,*,*,*, - ,*,*,*, - , - ,*,*,*, - ,*,*,*
67,Hebron School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
68,Kent School District,*,*,*, - , - ,*, - ,*, - ,*,*,*,*,*,*,*
69,Killingly School District,12.6,8.5,9.5,18.4,*,*,*,22.5, - ,*,12.1,17.2,*,19.2,15.6,7.3
71,Lebanon School District,7.1,*,*,19.3,*,*,*,*,*,*,7.3,*, - ,*,*,6.8
72,Ledyard School District,5.5,4.2,5.3,6.7,*,*,*,9.8,*,*,4.7,5.9,*,11.7,*,4.1
73,Lisbon School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
74,Litchfield School District,7.3,*,7.1,9.5, - ,*,*,*,*,*,6.9,*,*,*,*,6.2
76,Madison School District,2.2,*,3.7,*,*,*,*,*,*,*,2.2,*,*,*,*,2.1
77,Manchester School District,12.5,11.6,10.7,16.0,*,9.6,11.5,18.7,*,7.8,10.3,19.7,17.5,19.1,7.0,6.4
78,Mansfield School District,3.9,5.7,*, - , - ,*,*,*,*,*,3.5,*,*,9.1,*,*
79,Marlborough School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
80,Meriden School District,15.3,12.0,11.9,21.8,*,11.3,15.2,17.5,*,*,11.0,26.4,18.6,19.9,7.9,6.6
83,Middletown School District,9.8,7.1,9.4,13.7,*,*,12.3,16.6,*,9.9,6.9,14.8,17.0,16.3,7.9,5.5
84,Milford School District,10.7,5.3,6.6,21.1,*,9.8,15.3,16.9,*,*,10.1,20.3,16.8,25.0,15.4,7.6
85,Monroe School District,3.8,*,3.5,5.6,*,*,*,*, - ,*,3.7,7.4,*,*,*,3.3
86,Montville School District,6.9,4.3,6.3,10.3,*,*,*,*,*,11.5,6.9,16.1,*,13.8,*,4.3
88,Naugatuck School District,13.8,7.3,9.8,25.6,*,*,14.1,17.4,*,15.3,12.8,21.6,*,20.9,14.6,8.7
89,New Britain School District,19.1,12.1,14.8,35.6,*,9.4,16.0,22.2,*,18.1,13.4,27.5,25.9,21.4,10.6,13.7
90,New Canaan School District,2.7,1.7,3.2,3.0,*,*,*,*,*,*,2.9,*,*, - , - ,2.7
91,New Fairfield School District,8.8,3.5,3.5,17.9,*,*,*,*, - ,*,8.9,12.4,*,*,*,8.7
92,New Hartford School District,5.3,*,*, - , - ,*,*,*, - ,*,4.7,*,*,*,*,5.3
93,New Haven School District,24.7,20.1,19.7,37.3,*,8.4,25.8,27.5,*,*,16.9,34.6,26.5,32.2,19.0,17.9
94,Newington School District,6.8,2.9,3.6,14.2,*,*,*,9.2,*,*,6.6,13.1,*,14.2,10.4,5.0
95,New London School District,20.7,24.4,14.3,24.3,*,*,18.8,20.5,*,27.7,21.5,31.4,20.1,23.3,*,14.6
96,New Milford School District,8.8,4.9,6.0,15.6,*,*,*,11.3, - ,*,8.6,17.8,*,18.2,*,7.0
97,Newtown School District,4.3,4.6,5.3,2.8,*,*,*,9.9, - ,*,4.1,11.3,*,8.2,*,4.1
98,Norfolk School District,*,*,*, - , - , - , - ,*, - ,*,*,*, - ,*,*,*
99,North Branford School District,4.8,*,4.2,7.7,*,*,*,*, - ,*,4.1,9.0,*,13.6,*,3.4
100,North Canaan School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
101,North Haven School District,8.7,5.3,6.2,14.3,*,9.2,*,11.0,*,*,8.0,15.3,*,18.0,18.4,7.1
102,North Stonington School District,7.1,*,*,17.3,*,*,*,*,*,*,6.9,*,*,*,*,7.0
103,Norwalk School District,10.7,7.0,9.4,16.3,*,5.8,12.9,11.3,*,*,9.5,17.3,10.4,13.5,7.2,8.9
104,Norwich School District,14.5,13.8,13.5,80.5,*,*,12.3,19.3,*,14.8,13.7,23.9,11.6,16.9,8.5,11.4
106,Old Saybrook School District,5.9,*,3.8,9.6, - ,*,*,*, - ,*,5.9,*,*,14.4,*,4.6
107,Orange School District,4.9,5.3,4.6, - ,*,*,*,*, - ,*,4.5,*,*,*,*,4.5
108,Oxford School District,7.8,3.5,4.8,16.2,*,*,*,*,*,*,7.7,12.4,*,21.9,*,7.3
109,Plainfield School District,12.1,8.2,10.2,18.8,*,*,*,*,*,*,11.3,17.9,*,18.9,12.4,7.7
110,Plainville School District,7.6,3.6,6.3,13.0,*,*,*,13.6,*,*,6.5,14.1,*,12.6,11.9,5.4
111,Plymouth School District,9.8,10.5,9.5,8.9,*,*,*,*, - ,*,9.2,15.7,*,18.7,*,6.5
112,Pomfret School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
113,Portland School District,5.3,*,5.4,8.0,*,*,*,*,*,*,5.2,*,*,15.9,*,3.1
114,Preston School District,*,*,*, - ,*,*,*,*,*,*,*,*,*,*,*,*
116,Putnam School District,13.7,7.8,11.6,25.6,*,*,*,*,*,*,13.6,21.5,*,16.1,*,11.6
117,Redding School District,*,*,*, - ,*,*,*,*,*,*,*,*,*,*,*,*
118,Ridgefield School District,6.1,3.0,5.2,9.4,*,*,*,*,*,*,6.2,13.1,*,*,*,6.0
119,Rocky Hill School District,6.4,8.3,4.4,7.0,*,9.7,*,11.5, - ,*,4.8,12.2,*,18.5,*,4.7
121,Salem School District,*,*,*, - ,*,*,*,*,*,*,*,*,*,*,*,*
122,Salisbury School District,*,*,*, - , - ,*,*,*, - ,*,*,*, - ,*,*,*
123,Scotland School District,*,*,*, - , - , - ,*,*, - ,*,*,*, - ,*,*,*
124,Seymour School District,9.1,7.4,9.1,10.8,*,*,*,19.9, - ,*,7.6,17.5,*,21.5,*,5.9
125,Sharon School District,*,*,*, - , - ,*,*,*, - ,*,*,*, - ,*,*,*
126,Shelton School District,12.1,6.7,6.9,23.4,*,*,13.8,19.2,*,*,11.7,19.0,*,23.5,16.2,9.5
127,Sherman School District,7.0,*,*, - , - ,*, - ,*, - ,*,6.7,*,*,*, - ,6.5
128,Simsbury School District,6.1,4.2,5.3,8.3, - ,*,9.3,9.4,*,*,5.8,14.5,*,18.9,*,5.2
129,Somers School District,10.1,*,10.7,15.3,*,*,*,*,*,*,10.0,18.2,*,29.7,*,8.4
131,Southington School District,6.5,4.4,5.8,9.5,*,*,*,12.2,*,*,6.2,14.4,*,22.4,11.4,4.1
132,South Windsor School District,3.2,4.9,3.7,*,*,5.5,*,*,*,*,2.1,7.3,*,7.4,*,2.6
133,Sprague School District,7.8,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
134,Stafford School District,7.4,4.7,4.2,13.8,*,*,*,*,*,*,7.5,12.5,*,14.5,*,5.2
135,Stamford School District,10.0,8.2,7.4,14.9,*,10.9,10.5,12.3,*,*,6.7,15.1,13.3,13.3,7.1,7.6
136,Sterling School District,6.8,*,*, - ,*,*,*,*, - ,*,6.7,*, - ,*,*,*
137,Stonington School District,8.7,8.0,14.9,*,*,*,*,*,*,*,7.1,16.0,*,20.5,*,5.8
138,Stratford School District,11.2,7.5,8.7,17.6,*,11.0,10.9,14.3,*,10.6,9.5,19.3,10.2,18.8,8.4,7.3
139,Suffield School District,6.7,14.7,6.3,*,*,*,*,*, - ,*,6.0,11.7,*,17.8,*,5.7
140,Thomaston School District,5.2,*,*,*,*,*,*,*,*,*,5.1,*,*,*,*,4.7
141,Thompson School District,5.6,*,*,12.4,*,*,*,*, - ,*,5.6,*,*,8.2,*,4.6
142,Tolland School District,3.3,*,2.6,6.2,*,*,*,*,*,*,3.2,*,*,*,*,2.8
143,Torrington School District,14.0,7.7,11.1,27.3,*,*,16.8,16.6,*,15.3,13.2,20.4,10.1,19.3,13.1,9.7
144,Trumbull School District,2.2,2.1,2.7,1.5,*,*,*,4.1,*,*,2.0,5.3,*,7.0,*,2.0
145,Union School District,*,*,*, - , - , - ,*,*, - , - ,*,*, - ,*, - ,*
146,Vernon School District,7.1,5.9,3.3,13.4,*,*,9.7,12.3, - ,*,5.9,14.9,*,12.7,*,3.8
147,Voluntown School District,9.5,*,*, - ,*,*,*,*, - ,*,9.5,*, - ,*,*,9.4
148,Wallingford School District,5.6,3.8,4.4,7.8,*,*,*,8.6,*,*,4.9,10.8,*,12.4,*,3.9
151,Waterbury School District,20.6,14.4,17.3,33.7,*,10.4,20.7,23.5,*,19.2,14.6,31.6,25.4,24.2,10.5,10.0
152,Waterford School District,5.8,4.2,5.8,6.9,*,*,*,*,*,*,5.9,10.5,*,12.7,*,4.5
153,Watertown School District,10.3,4.7,4.2,23.6,*,*,*,12.7, - ,26.7,9.3,17.8,*,20.0,*,7.9
154,Westbrook School District,4.5,*,*,*,*,*,*,*, - ,*,4.0,*,*,*,*,4.3
155,West Hartford School District,5.0,4.5,4.9,5.5,*,4.1,6.8,9.4,*,*,3.8,11.7,9.8,11.4,5.9,3.7
156,West Haven School District,14.7,12.6,15.2,16.5,*,*,15.7,14.6,*,21.6,14.1,22.9,10.9,19.1,8.0,10.0
157,Weston School District,5.5,5.7,7.0,3.4,*,*,*,*, - ,*,5.5,*,*,*,*,5.3
158,Westport School District,2.8,2.6,3.9,1.7,*,*,*,*, - ,*,2.5,6.3,*,*,*,2.6
159,Wethersfield School District,4.3,*,2.2,8.9,*,*,*,8.5,*,*,3.4,9.2,*,10.0,*,3.0
160,Willington School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
161,Wilton School District,13.4,2.6,2.7,37.2,*,7.2,*,*,*,*,14.1,18.9,*,*,*,13.4
162,Winchester School District,7.2,7.6,*,*,*,*,*,*,*,*,6.6,*,*,9.9,*,*
163,Windham School District,17.6,14.6,13.1,33.4,*,*,16.4,21.1, - ,*,10.8,29.6,23.2,21.0,12.6,9.1
164,Windsor School District,10.9,6.3,6.9,17.9,*,*,10.8,13.8,*,*,9.1,16.9,*,17.8,10.3,7.7
165,Windsor Locks School District,10.0,6.6,7.5,16.3,*,*,18.2,11.7,*,*,9.5,13.9,*,16.9,*,7.1
166,Wolcott School District,3.4,*,*,6.6,*,*,*,*, - ,*,3.0,11.2,*,8.4,*,2.1
167,Woodbridge School District,6.4,8.0,*, - ,*,*,*,*,*,*,6.7,*,*,*,*,6.0
169,Woodstock School District,4.4,*,4.9, - , - ,*,*,*, - ,*,4.2,*, - ,*,*,3.7
201,Regional School District 01,*, - , - ,*,*,*,*,*, - ,*,*,*,*,*,*,*
204,Regional School District 04,9.8, - ,7.9,10.9,*,*,*,*, - ,*,9.7,17.4,*,33.7,*,7.2
205,Regional School District 05,11.2, - ,3.9,14.9,*,12.4,*,*,*,*,11.7,11.3,*,*,*,11.2
206,Regional School District 06,4.2,*,*,*,*,*,*,*,*,*,4.1,*,*,*,*,3.6
207,Regional School District 07,5.9, - ,*,7.6,*,*,*,*, - ,*,5.9,*,*,*,*,5.3
208,Regional School District 08,12.3, - ,5.2,16.2, - ,*,*,*, - ,*,12.4,21.6,*,22.2,*,11.7
209,Regional School District 09,9.9, - , - ,9.9,*,*,*,*, - ,*,10.8,*,*,*,*,9.8
210,Regional School District 10,7.4,5.4,2.7,14.6,*,*,*,*,*,*,7.0,12.3,*,14.8,*,6.7
211,Regional School District 11,*, - ,*,*,*,*,*,*, - ,*,*,*,*,*,*,*
212,Regional School District 12,6.9,*,*,11.4,*,*,*,*,*,*,6.5,*,*,*,*,5.7
213,Regional School District 13,4.1,*,4.7,5.0,*,*,*,*, - ,*,3.9,*,*,*,*,3.8
214,Regional School District 14,7.6,5.1,6.8,9.5,*,*,*,*, - ,*,7.6,11.0,*,18.5,*,6.3
215,Regional School District 15,4.1,4.1,4.5,2.8,*,*,*,*,*,*,3.6,8.7,*,*,*,3.7
216,Regional School District 16,4.8,*,2.9,10.4,*,*,*,*, - ,*,4.9,7.4,*,11.9,*,3.7
217,Regional School District 17,4.2,*,2.6,7.8,*,*,*,*, - ,*,3.9,8.9,*,*,*,3.5
218,Regional School District 18,6.0,*,5.6,6.8,*,*,*,*, - ,*,6.2,*,*,*,*,5.2
219,Regional School District 19,15.7, - , - ,15.7,*,*,*,*,*,*,15.3,25.7,*,31.8,*,12.8
241,Capitol Region Education Council,13.7,12.2,9.1,21.4,*,8.6,12.1,17.8,*,11.5,12.4,15.2,24.0,20.9,9.4,8.8
242,Education Connection,*,*,*,*, - , - ,*,*, - ,*,*,*, - ,*,*,*
243,Cooperative Educational Services,15.8,8.3,15.7,28.2, - ,*,11.3,16.0, - ,*,17.9,26.4, - ,25.5,*,13.3
244,Area Cooperative Educational Services,21.7,17.0,17.5,47.8,*,*,21.8,26.9,*,*,17.1,36.2,*,31.1,13.3,12.3
245,Learn,16.2,12.0,7.2,23.4,*,*,24.5,22.0,*,10.4,11.4,18.7,*,21.2,*,13.0
253,Eastern Connecticut Regional Educational Services,#N/A,*,*,16.2,*,*,*,*, - ,*,14.9,*,*,17.8,*,12.0
261,Jumoke Academy District,6.0,*,5.7,*, - , - ,6.0,*, - ,*, - ,*, - ,6.4,*,*
263,Odyssey Community School District,11.7,14.2,*, - , - ,*,*,*, - ,*,14.1,*, - ,*,*,10.1
264,Integrated Day Charter School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
265,Interdistrict School for Arts and Comm District,11.2, - ,11.2, - ,*,*,*,*, - ,*,*,*,*,15.9,*,*
268,Common Ground High School District,16.6, - , - ,16.6, - ,*,*,*, - ,*,*,*,*,*,*,*
269,The Bridge Academy District,8.4, - ,*,*,*,*,*,*,*,*,*,*,*,*,*,*
270,Side By Side Charter School District,*,*,*, - , - ,*,*,*,*,*,*,*,*,*,*,*
272,Explorations District,29.1, - , - ,29.1,*,*,*,*, - ,*,29.2,*, - ,*, - ,*
278,Trailblazers Academy District,*, - ,*, - , - ,*,*,*, - ,*,*,*, - ,*,*,*
279,Amistad Academy District,3.5,*,*,*,*, - ,*,*, - ,*,*,*,*,4.8,*,*
280,New Beginnings Inc. Family Academy District,9.8,*,10.9, - , - , - ,10.2,*,*,*,*,*,*,11.6,*,*
282,Stamford Academy District,*, - , - ,*, - , - ,*,*, - , - ,*,*, - ,*,*,*
283,Park City Prep Charter School District,*, - ,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
285,Bridgeport Achievement First District,2.9,*,*,*,*,*,*,*, - ,*,*,*,*,4.2,*,*
286,Highville Charter School District,*,*,*,*, - ,*,*,*, - ,*,*,*, - ,*,*,*
288,Achievement First Hartford Academy Inc. District,6.1,*,8.8,*,*,*,5.9,*,*,*, - ,*,*,6.1, - , - 
289,Elm City College Preparatory School District,4.6,*,*,*,*,*,4.6,*, - ,*,*,*,*,6.0,*,*
290,Brass City Charter School District,*,*, - , - , - , - ,*,*, - ,*,*,*, - ,*,*,*
336,Unified School District #1,22.0, - ,*,23.0,*,*,24.4,20.1, - ,*,*,17.2, - ,22.0, - , - 
337,Department of Mental Health and Addiction Services,*, - , - ,*, - , - ,*,*, - , - ,*,*, - ,*, - , - 
347,Unified School District #2,*, - ,*,*,*,*,*,*,*,*,*,*,*,*, - , - 
900,Connecticut Technical High School System,12.9, - , - ,12.9,*,*,13.5,14.3,*,12.4,12.0,13.1,13.1,18.3,9.6,8.8
901,Norwich Free Academy District,31.0, - , - ,31.0,*,20.8,25.3,38.5,*,*,32.1,32.5,19.9,32.2,22.9,31.2
902,The Gilbert School District,15.8, - ,*,18.5,*,*,*,*, - ,*,16.8,26.0,*,23.7,*,11.0
903,Woodstock Academy District,6.4, - , - ,6.4,*,*,*,*, - ,*,5.7,*,*,*,*,6.3
,STATEWIDE TOTALS,10.7,8.6,8.4,15.4,12.2,6.4,15.7,18.1,10.6,10.9,7.2,18.5,18.0,19.9,9.1,6.1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Chronic Absentee defined as any student with a calculated Average Daily Attendance (ADA) of less than or equal to 90%,,,,,,,,,,,,,,,,,
All data taken from June 2014 PSIS collection,,,,,,,,,,,,,,,,,
